type,release_date,process_size_(nm),tdp_(w),die_size_(mm^2),transistors_(million),freq_(ghz),foundry,vendor,fp16_gflops,fp32_gflops,fp64_gflops,year
GPU,1999-03-15,250,unknown,63,15,1615.4307897071872,TSMC,NVIDIA,19033.0610625,5403.009359050446,1096.608262910798,1999
CPU,2000-01-12,180,25,106,28,800.0,Intel,Intel,19033.0610625,5403.009359050446,1096.608262910798,2000
CPU,2000-01-12,180,25,106,28,800.0,Intel,Intel,19033.0610625,5403.009359050446,1096.608262910798,2000
GPU,2000-03-01,250,unknown,63,15,105.0,TSMC,NVIDIA,19033.0610625,5403.009359050446,1096.608262910798,2000
GPU,2000-03-04,250,unknown,279,54,1615.4307897071872,Sony,Sony,19033.0610625,5403.009359050446,1096.608262910798,2000
GPU,2000-03-04,250,79,279,54,147.0,Sony,Sony,19033.0610625,5403.009359050446,1096.608262910798,2000
GPU,2000-04-01,180,23,115,30,166.0,TSMC,ATI,19033.0610625,5403.009359050446,1096.608262910798,2000
GPU,2000-04-01,180,23,111,30,166.0,TSMC,ATI,19033.0610625,5403.009359050446,1096.608262910798,2000
GPU,2000-04-01,180,23,111,30,166.0,TSMC,ATI,19033.0610625,5403.009359050446,1096.608262910798,2000
GPU,2000-04-01,180,unknown,115,30,1615.4307897071872,TSMC,ATI,19033.0610625,5403.009359050446,1096.608262910798,2000
GPU,2000-04-01,180,unknown,111,30,1615.4307897071872,TSMC,ATI,19033.0610625,5403.009359050446,1096.608262910798,2000
CPU,2000-04-10,180,25,106,28,866.0,Intel,Intel,19033.0610625,5403.009359050446,1096.608262910798,2000
CPU,2000-04-10,180,25,106,28,866.0,Intel,Intel,19033.0610625,5403.009359050446,1096.608262910798,2000
GPU,2000-04-26,180,unknown,88,25,200.0,TSMC,NVIDIA,19033.0610625,5403.009359050446,1096.608262910798,2000
GPU,2000-04-26,180,unknown,88,25,1615.4307897071872,TSMC,NVIDIA,19033.0610625,5403.009359050446,1096.608262910798,2000
GPU,2000-04-26,180,unknown,88,25,200.0,TSMC,NVIDIA,19033.0610625,5403.009359050446,1096.608262910798,2000
CPU,2000-05-22,180,30,375,140,700.0,Intel,Intel,19033.0610625,5403.009359050446,1096.608262910798,2000
CPU,2000-05-22,180,30,375,140,700.0,Intel,Intel,19033.0610625,5403.009359050446,1096.608262910798,2000
CPU,2000-05-22,180,29,375,140,700.0,Intel,Intel,19033.0610625,5403.009359050446,1096.608262910798,2000
CPU,2000-05-22,180,30,375,140,700.0,Intel,Intel,19033.0610625,5403.009359050446,1096.608262910798,2000
CPU,2000-05-24,180,29,106,28,933.0,Intel,Intel,19033.0610625,5403.009359050446,1096.608262910798,2000
CPU,2000-05-24,180,30,106,28,933.0,Intel,Intel,19033.0610625,5403.009359050446,1096.608262910798,2000
GPU,2000-06-01,180,unknown,115,30,148.0,TSMC,ATI,19033.0610625,5403.009359050446,1096.608262910798,2000
GPU,2000-06-01,180,23,115,30,166.0,TSMC,ATI,19033.0610625,5403.009359050446,1096.608262910798,2000
GPU,2000-06-01,180,23,115,30,166.0,TSMC,ATI,19033.0610625,5403.009359050446,1096.608262910798,2000
