type,release_date,process_size_(nm),tdp_(w),die_size_(mm^2),transistors_(million),freq_(ghz),foundry,vendor,fp16_gflops,fp32_gflops,fp64_gflops,year,transistor_density
1,0,250.0,65.0,63.0,15.0,1615.4307897071872,8,5,19033.0610625,5403.009359050446,1096.608262910798,1999.0,0.23809523431594867
0,1,180.0,25.0,106.0,28.0,800.0,3,3,19033.0610625,5403.009359050446,1096.608262910798,2000.0,0.2641509409042364
0,1,180.0,25.0,106.0,28.0,800.0,3,3,19033.0610625,5403.009359050446,1096.608262910798,2000.0,0.2641509409042364
1,2,250.0,65.0,63.0,15.0,105.0,8,5,19033.0610625,5403.009359050446,1096.608262910798,2000.0,0.23809523431594867
1,3,250.0,65.0,279.0,54.0,1615.4307897071872,7,6,19033.0610625,5403.009359050446,1096.608262910798,2000.0,0.19354838640305239
1,3,250.0,79.0,279.0,54.0,147.0,7,6,19033.0610625,5403.009359050446,1096.608262910798,2000.0,0.19354838640305239
1,4,180.0,23.0,115.0,30.0,166.0,8,2,19033.0610625,5403.009359050446,1096.608262910798,2000.0,0.26086956294896035
1,4,180.0,23.0,111.0,30.0,166.0,8,2,19033.0610625,5403.009359050446,1096.608262910798,2000.0,0.270270267835403
1,4,180.0,23.0,111.0,30.0,166.0,8,2,19033.0610625,5403.009359050446,1096.608262910798,2000.0,0.270270267835403
1,4,180.0,65.0,115.0,30.0,1615.4307897071872,8,2,19033.0610625,5403.009359050446,1096.608262910798,2000.0,0.26086956294896035
1,4,180.0,65.0,111.0,30.0,1615.4307897071872,8,2,19033.0610625,5403.009359050446,1096.608262910798,2000.0,0.270270267835403
0,5,180.0,25.0,106.0,28.0,866.0,3,3,19033.0610625,5403.009359050446,1096.608262910798,2000.0,0.2641509409042364
0,5,180.0,25.0,106.0,28.0,866.0,3,3,19033.0610625,5403.009359050446,1096.608262910798,2000.0,0.2641509409042364
1,6,180.0,65.0,88.0,25.0,200.0,8,5,19033.0610625,5403.009359050446,1096.608262910798,2000.0,0.2840909058626033
1,6,180.0,65.0,88.0,25.0,1615.4307897071872,8,5,19033.0610625,5403.009359050446,1096.608262910798,2000.0,0.2840909058626033
1,6,180.0,65.0,88.0,25.0,200.0,8,5,19033.0610625,5403.009359050446,1096.608262910798,2000.0,0.2840909058626033
0,7,180.0,30.0,375.0,140.0,700.0,3,3,19033.0610625,5403.009359050446,1096.608262910798,2000.0,0.37333333233777777
0,7,180.0,30.0,375.0,140.0,700.0,3,3,19033.0610625,5403.009359050446,1096.608262910798,2000.0,0.37333333233777777
0,7,180.0,29.0,375.0,140.0,700.0,3,3,19033.0610625,5403.009359050446,1096.608262910798,2000.0,0.37333333233777777
0,7,180.0,30.0,375.0,140.0,700.0,3,3,19033.0610625,5403.009359050446,1096.608262910798,2000.0,0.37333333233777777
0,8,180.0,29.0,106.0,28.0,933.0,3,3,19033.0610625,5403.009359050446,1096.608262910798,2000.0,0.2641509409042364
0,8,180.0,30.0,106.0,28.0,933.0,3,3,19033.0610625,5403.009359050446,1096.608262910798,2000.0,0.2641509409042364
1,9,180.0,65.0,115.0,30.0,148.0,8,2,19033.0610625,5403.009359050446,1096.608262910798,2000.0,0.26086956294896035
1,9,180.0,23.0,115.0,30.0,166.0,8,2,19033.0610625,5403.009359050446,1096.608262910798,2000.0,0.26086956294896035
1,9,180.0,23.0,115.0,30.0,166.0,8,2,19033.0610625,5403.009359050446,1096.608262910798,2000.0,0.26086956294896035
1,9,180.0,23.0,111.0,30.0,143.0,8,2,19033.0610625,5403.009359050446,1096.608262910798,2000.0,0.270270267835403
1,9,180.0,65.0,100.0,950.0,120.0,2,2,19033.0610625,5403.009359050446,1096.608262910798,2000.0,9.499999905000001
1,9,180.0,65.0,100.0,950.0,120.0,2,2,19033.0610625,5403.009359050446,1096.608262910798,2000.0,9.499999905000001
1,9,180.0,65.0,156.0,950.0,1615.4307897071872,2,2,19033.0610625,5403.009359050446,1096.608262910798,2000.0,6.089743550706772
0,10,180.0,45.0,120.0,37.0,800.0,8,1,19033.0610625,5403.009359050446,1096.608262910798,2000.0,0.3083333307638889
0,10,180.0,38.0,120.0,37.0,600.0,8,1,19033.0610625,5403.009359050446,1096.608262910798,2000.0,0.3083333307638889
0,10,180.0,38.0,120.0,37.0,650.0,8,1,19033.0610625,5403.009359050446,1096.608262910798,2000.0,0.3083333307638889
0,10,180.0,40.0,120.0,37.0,700.0,8,1,19033.0610625,5403.009359050446,1096.608262910798,2000.0,0.3083333307638889
0,10,180.0,52.0,120.0,37.0,950.0,8,1,19033.0610625,5403.009359050446,1096.608262910798,2000.0,0.3083333307638889
0,10,180.0,50.0,120.0,37.0,900.0,8,1,19033.0610625,5403.009359050446,1096.608262910798,2000.0,0.3083333307638889
0,10,180.0,47.0,120.0,37.0,850.0,8,1,19033.0610625,5403.009359050446,1096.608262910798,2000.0,0.3083333307638889
0,10,180.0,43.0,120.0,37.0,750.0,8,1,19033.0610625,5403.009359050446,1096.608262910798,2000.0,0.3083333307638889
